	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Fri Oct 16 09:54:40 +0000 2020	0.0		0.0	VOTE FOR BIDEN AND HARRIS 🙋‍♀️👍🇺🇸💙😷❤ https://t.co/bCtf80Lqpu	https://twitter.com/twitter/statuses/1317041258662105088	4e2ad352c4a95a93f924f55229838c1d
1	Mon Oct 19 18:48:31 +0000 2020	0.0		1.0	 Vote for Biden and Harris	https://twitter.com/twitter/statuses/1318262770287038465	3d8993d7d7b664261dcc4893aab77159
2	Wed Oct 21 13:32:13 +0000 2020	0.0		0.0	Same with Biden/ Harris.. tired of them all https://t.co/WuPwi4LEME	https://twitter.com/twitter/statuses/1318907948572250113	7c4ed674bf9240f96842c8bd7b18ab5a
3	Tue Oct 13 16:26:19 +0000 2020	0.0		0.0	WHAT??VOTE FOR BIDEN AND HARRIS!😷👍💙🇺🇸🙋‍♀️😅 https://t.co/Nt03VG4TUj	https://twitter.com/twitter/statuses/1316052657136709635	4e2ad352c4a95a93f924f55229838c1d
4	Wed Oct 14 14:33:53 +0000 2020	0.0		0.0	VOTE FOR BIDEN AND HARRIS!!😷👍💙🇺🇸🙋‍♀️😁 https://t.co/yllSqMPHWU	https://twitter.com/twitter/statuses/1316386750038671361	4e2ad352c4a95a93f924f55229838c1d
5	Mon Oct 19 19:36:45 +0000 2020	0.0		0.0	  Vote for Biden and Harris	https://twitter.com/twitter/statuses/1318274911006203904	3d8993d7d7b664261dcc4893aab77159
6	Tue Oct 13 23:16:54 +0000 2020	0.0		0.0	Vote for Biden and Harris https://t.co/486THLtRQQ	https://twitter.com/twitter/statuses/1316155986210516992	99a167a177bdd4f1d750ee43634cde55
7	Fri Oct 16 20:55:17 +0000 2020	0.0		0.0	VOTE 📬🗳️🌊 BIDEN HARRIS VOTE 📬🗳️🌊 BIDEN HARRIS VOTE 📬🗳️🌊 BIDEN HARRIS https://t.co/AfXkWQlZDk	https://twitter.com/twitter/statuses/1317207508692443141	4aa18869b43d833c39451620763eb560
8	Sun Oct 18 04:19:19 +0000 2020	5.0		0.0	 Vote. For Biden and Harris of course.	https://twitter.com/twitter/statuses/1317681642291437569	ff704391cbd2539395d737082bab3596
9	Wed Oct 14 01:11:49 +0000 2020	1.0		0.0	Biden and Harris will be the death of America	https://twitter.com/twitter/statuses/1316184903969579008	08d81b0d25c7aa6cb28ce22d0b9d8e05
10	Tue Oct 13 23:29:44 +0000 2020	0.0		0.0	I forgot we are voting for Harris not Biden	https://twitter.com/twitter/statuses/1316159216093020160	5ece95c4b5b21e5ce2c0fdcad8416d35
11	Wed Oct 14 21:07:10 +0000 2020	0.0		0.0	I hope Biden and Harris fire her	https://twitter.com/twitter/statuses/1316485726394085377	1d14cd2b49f646a5ae80d0fd18f19278
12	Thu Oct 15 04:37:36 +0000 2020	1.0		0.0	Fuck yes. Biden Harris https://t.co/fDTfzn06vQ	https://twitter.com/twitter/statuses/1316599078806056961	949928c7d6bb68c53f784567eaaebdd7
13	Tue Oct 13 18:50:08 +0000 2020	0.0		0.0	  The only Christians running Biden and Harris!	https://twitter.com/twitter/statuses/1316088849790054406	5b182ed5b97d2b9fd3a3f26fc9415e17
14	Mon Oct 19 22:33:09 +0000 2020	0.0	Voting, Pass, PassItOn	0.0	#Voting for Biden Harris #Pass it on #PassItOn https://t.co/bMav57ga6j	https://twitter.com/twitter/statuses/1318319303515656192	c696eaea35c5db62595cf3e8281e5ba2
15	Tue Oct 20 13:26:27 +0000 2020	1.0		0.0	@JoeBiden  😱 Are you kidding me.  Biden Harris 2020	https://twitter.com/twitter/statuses/1318544108810620928	90fe6c0bec7bc5849b5974a6e07fa5c7
16	Wed Oct 21 04:52:15 +0000 2020	0.0		0.0	Vote for Biden and Kamala Harris 2020. https://t.co/qY5L7uvZ2k https://t.co/7BLqsfKCs5	https://twitter.com/twitter/statuses/1318777094885826560	0afa227648b03cc53bfffa8b940c2fae
17	Wed Oct 14 17:54:26 +0000 2020	0.0		0.0	@realDonaldTrump You will be voted out vote Biden Harris 2020.	https://twitter.com/twitter/statuses/1316437222166388736	1b9f075de11647d8b2ec86ac6e21ba92
18	Mon Oct 19 00:43:40 +0000 2020	0.0		0.0	 AZ for Joe Biden and Kamala Harris🌵 https://t.co/LZI4liPdMx	https://twitter.com/twitter/statuses/1317989759155806208	0f105778e5bb4daedaf93e481fb34f1d
19	Mon Oct 19 17:55:47 +0000 2020	0.0		0.0	There’s a Biden Harris sign there right now https://t.co/LMOvfjsr8f	https://twitter.com/twitter/statuses/1318249501652647937	19f18d6e26099defa0d243df8f27310a
