	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Fri Oct 16 12:13:52 +0000 2020	0.0		0.0	  Where are their masks Biden’s army	https://twitter.com/twitter/statuses/1317076290122485761	12d184856036d46b0d39fb960aa7c8b5
1	Wed Oct 14 19:35:43 +0000 2020	0.0		0.0	How wearing a mask became a republican/democratic issue?? https://t.co/hrZPU3FXTG	https://twitter.com/twitter/statuses/1316462710507307010	e437114e5811e413330ccca4d87f0d26
2	Tue Oct 13 13:53:10 +0000 2020	5.0		1.0	 And those are Biden voters wearing masks and distanced	https://twitter.com/twitter/statuses/1316014115110883328	c93a902151cf29fe6b24fab7433325ca
3	Wed Oct 14 00:14:25 +0000 2020	1.0		1.0	Why aren't they selling Biden face masks?	https://twitter.com/twitter/statuses/1316170459138920449	37fadc962a80ff90670997998110f651
4	Thu Oct 15 06:09:50 +0000 2020	1.0		0.0	https://t.co/svl5dbA4bZHOW was he supposed to eat without moving the mask?	https://twitter.com/twitter/statuses/1316622289035644928	513ca974898639e0310ae3175f8ef686
5	Wed Oct 21 00:08:51 +0000 2020	0.0		0.0	Since when does Trump taunt people for NOT wearing masks? https://t.co/e4gJyX6Kmi	https://twitter.com/twitter/statuses/1318705775372652545	f9667f71e5945e3bc20bb8a5501d0e8a
6	Thu Oct 15 15:12:17 +0000 2020	0.0		0.0	 Q: Will Biden have a mask on?A: at least one.. https://t.co/UrvdjNQDq8	https://twitter.com/twitter/statuses/1316758802566467589	b0f4b256b6f6341e08ab3a9c43f3c4fa
7	Tue Oct 13 23:04:20 +0000 2020	5.0		1.0	_jackie  It's not odd. Biden pulls his mask down to cough.	https://twitter.com/twitter/statuses/1316152822426107911	d36aee2eeb1978d03b5ed1020f7c9094
8	Wed Oct 14 16:17:29 +0000 2020	0.0		0.0	 Hey Jim why did you not wear a mask at a Trump rally?	https://twitter.com/twitter/statuses/1316412821215870976	4c8e42692946487e6c47e418e9e00af4
9	Fri Oct 16 17:03:31 +0000 2020	4.0		3.0	Trump: “I’m good with masks. “ liar liar liar. It’s not what Trump says it’s what he does—nothing no mask	https://twitter.com/twitter/statuses/1317149182281486337	750d493da1448d33e31e910af194b466
10	Sat Oct 17 02:30:28 +0000 2020	4.0		0.0	Trump is dying politically on the hill of not wearing masks. Americans are just dying.	https://twitter.com/twitter/statuses/1317291859673112577	9060ec0573b34d0e2148cfa273217239
11	Wed Oct 14 01:52:39 +0000 2020	1.0		0.0	  Trump colluded. Barr's b.s. masking and origins nowhere.	https://twitter.com/twitter/statuses/1316195182505721856	99b0fb5de1935ac1cfe5865e646c3b34
12	Fri Oct 16 00:46:07 +0000 2020	11.0	Trump, TownHall, trumptownhall	1.0	Sis in the red mask love her some #Trump #TownHall #trumptownhall https://t.co/gad1xmkvcn	https://twitter.com/twitter/statuses/1316903214864863232	9af627e7145926d18179acb2b4cff5d0
13	Wed Oct 14 02:52:09 +0000 2020	0.0	DoNothingDemocrats	0.0	Kamala sAys Biden should be wearing 3 masks! #DoNothingDemocrats https://t.co/FlQX37G8Ln	https://twitter.com/twitter/statuses/1316210153977511937	0126b9c27b6f998802aa7ae1aee216f7
14	Tue Oct 13 23:03:23 +0000 2020	0.0		0.0	 Why would Trump wear a mask?  He’s immune and not possibly contagious.	https://twitter.com/twitter/statuses/1316152585166843905	53c68e13cbbe4d4fbf7b7a030b37413e
15	Wed Oct 14 17:45:32 +0000 2020	5.0		0.0	  Wahoo!! I’m counting masks as more likely to be Democrat with some exceptions; no masks very likely to be GOP.	https://twitter.com/twitter/statuses/1316434983880462343	691e53cb29e828c145c50ca087b38186
16	Sun Oct 18 14:31:04 +0000 2020	1.0		0.0	I feel like Jim Carrey is just playing Biden if the Mask was doing an impression of Biden. https://t.co/2jwVLuZuvd	https://twitter.com/twitter/statuses/1317835593670414337	090bfedee14778981fa0b824ea401318
17	Fri Oct 16 00:54:07 +0000 2020	0.0		0.0	Who's the baddie with the red mask sitting behind President Trump?	https://twitter.com/twitter/statuses/1316905224481787904	8d144d911458c25dc351a33a6398733e
18	Mon Oct 19 04:19:09 +0000 2020	0.0		0.0	Wear a mask if you are a pussy wash your hands and do not fucking vote for Biden https://t.co/klf5zITk3b	https://twitter.com/twitter/statuses/1318043990000771072	b11f3b97a7037c681044cd0b5c89d7b0
19	Wed Oct 14 05:06:07 +0000 2020	0.0	trump, agbarr	0.0	 Ironic (or appropriate?) Considering how #trump #agbarr undermine (face) masking	https://twitter.com/twitter/statuses/1316243870158651395	6ff2c8b4eec0133a03b33b4e915106ad
