	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Mon Oct 19 19:03:47 +0000 2020	1.0		0.0	Trump is a psychopathic liar https://t.co/pzjCYByZrn	https://twitter.com/twitter/statuses/1318266614442119169	750d493da1448d33e31e910af194b466
1	Fri Oct 16 04:00:40 +0000 2020	0.0		0.0	Trump is a bullshitter liar https://t.co/f2nsNecOto	https://twitter.com/twitter/statuses/1316952172421054464	750d493da1448d33e31e910af194b466
2	Fri Oct 16 01:31:08 +0000 2020	0.0		0.0	Trump is a liar ahd a cheat#TrumpTownHall	https://twitter.com/twitter/statuses/1316914542908145665	d5ebce01cdb20946a5626bdd1d7b2201
3	Thu Oct 15 05:05:12 +0000 2020	0.0	trump	0.0	 #trump is the biggest liar 🤥 ever	https://twitter.com/twitter/statuses/1316606026750205952	910cf9032e336cb0df9b03d7c18840c0
4	Tue Oct 20 03:34:44 +0000 2020	0.0		0.0	The Kind of LIAR trump is is Harming the World! https://t.co/bzVTqBSxWA	https://twitter.com/twitter/statuses/1318395200260034561	0b16c75636ff54e22e03f776df676747
5	Tue Oct 20 13:51:57 +0000 2020	0.0		0.0	Trump projecting...⬇️ We ALL know who the Liar in Chief is. https://t.co/uLlsIz4dCg	https://twitter.com/twitter/statuses/1318550526188027908	3ebf4d954ad4630403e68792d96debbf
6	Tue Oct 13 15:48:30 +0000 2020	0.0		0.0	Trump is the biggest LIAR in the history of American politics.	https://twitter.com/twitter/statuses/1316043140101476355	7b2f5d20eaa52c869e1871c1a81ba2fe
7	Mon Oct 19 14:49:09 +0000 2020	1.0		0.0	I think Trump is a liar so I don’t believe he had COVID19. https://t.co/aPWrK7e8Er	https://twitter.com/twitter/statuses/1318202531332370432	196baf415f573d5fd794f3df2f314d12
8	Tue Oct 20 20:16:18 +0000 2020	5.0		1.0	 This was from a TRUMP caravan today with thousands of participants you liar! https://t.co/9kcuv3DeN9	https://twitter.com/twitter/statuses/1318647249006710784	d1e66b2eb40e6709ad841d99d4f01849
9	Fri Oct 16 03:30:09 +0000 2020	0.0		0.0	You said u was wiping out trump tax cuts! What a liar!!! https://t.co/HzjSzyXecu	https://twitter.com/twitter/statuses/1316944493082529792	9266d529b7227ae5112052d3861cc8ed
10	Fri Oct 16 17:03:31 +0000 2020	4.0		3.0	Trump: “I’m good with masks. “ liar liar liar. It’s not what Trump says it’s what he does—nothing no mask	https://twitter.com/twitter/statuses/1317149182281486337	750d493da1448d33e31e910af194b466
11	Fri Oct 16 22:56:40 +0000 2020	7.0		3.0	And yet Trump says “I don’t know what QAnon is. Liar!!! https://t.co/2J89NFnhji	https://twitter.com/twitter/statuses/1317238056924139522	ab1e0956ff44ff4a64fa8bffc161b02f
12	Mon Oct 19 17:36:19 +0000 2020	3.0	VoteBidenHarris, VoteBlueToSaveAmerica	0.0	It’s not that they probably never will. It’s that they absolutely never will. Trump is a liar. #VoteBidenHarris #VoteBlueToSaveAmerica https://t.co/0tYXrbeLnO	https://twitter.com/twitter/statuses/1318244601694617601	e52f4a9ab7a1005f03de4dc407a61bba
13	Wed Oct 14 17:49:54 +0000 2020	0.0		0.0	  Why would anyone believe anything from ?!  He' as big a LIAR as trump.	https://twitter.com/twitter/statuses/1316436079290060800	d0c0cd0513e2b9f130ab7ede383c3d71
14	Wed Oct 14 02:35:24 +0000 2020	4.0		0.0	    Anyone you don’t agree with is a liar.  Wow.  Sounds like trump	https://twitter.com/twitter/statuses/1316205941344280579	defdb45d0ad9e6276cbc7b62cbdbdea2
15	Thu Oct 15 00:21:22 +0000 2020	0.0		0.0	ACB is a liar and not very smart when it comes to the law. Sounds like Trump country. https://t.co/Ey2mbAnS3X	https://twitter.com/twitter/statuses/1316534594938703873	4ff8e2c5af963cb422d7110fe21ff779
16	Wed Oct 14 01:42:15 +0000 2020	0.0		1.0	 And after Trump spent the last month calling for arrests in the case. Concluded Trump's still a Liar.	https://twitter.com/twitter/statuses/1316192563284639745	73a0d6812d6d6a1d99d62f4f44299841
17	Wed Oct 14 01:26:11 +0000 2020	1.0		0.0	@realDonaldTrump LIES! Don’t listen to anything Trump says about Fracking! Liar in Chief!	https://twitter.com/twitter/statuses/1316188521703464960	d6ce0e289ec56cdc3bdf0515cab0c31f
18	Sat Oct 17 19:30:29 +0000 2020	0.0		0.0	 Oh you don't know when to give up. Your president Trump is a very good liar for the  grand old party. https://t.co/L9a4kR3vGC	https://twitter.com/twitter/statuses/1317548555981197312	91448e9d0471b0515ad872b46f73ca08
19	Wed Oct 14 21:15:03 +0000 2020	0.0		0.0	       Where's your proof? You don't have any and she's a liar. Trump would never in a million years touch her.	https://twitter.com/twitter/statuses/1316487708521488387	f2df40208062ea3add9df585cf09c9d3
