	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Tue Oct 13 16:26:19 +0000 2020	0.0		0.0	WHAT??VOTE FOR BIDEN AND HARRIS!😷👍💙🇺🇸🙋‍♀️😅 https://t.co/Nt03VG4TUj	https://twitter.com/twitter/statuses/1316052657136709635	4e2ad352c4a95a93f924f55229838c1d
1	Mon Oct 19 00:43:40 +0000 2020	0.0		0.0	 AZ for Joe Biden and Kamala Harris🌵 https://t.co/LZI4liPdMx	https://twitter.com/twitter/statuses/1317989759155806208	0f105778e5bb4daedaf93e481fb34f1d
2	Wed Oct 21 13:32:13 +0000 2020	0.0		0.0	Same with Biden/ Harris.. tired of them all https://t.co/WuPwi4LEME	https://twitter.com/twitter/statuses/1318907948572250113	7c4ed674bf9240f96842c8bd7b18ab5a
3	Fri Oct 16 20:47:41 +0000 2020	0.0		0.0	I just voted for Joe Biden and Kamala Harris by mail. ✌🏽	https://twitter.com/twitter/statuses/1317205595326357504	63b51bd301afaedbafaec0fd80d1dec8
4	Wed Oct 14 02:18:20 +0000 2020	1.0		0.0	WATCH: Courageous Priest Speaks The TRUTH About Joe Biden and Kamala Harris https://t.co/ZjJzrvt3Mc	https://twitter.com/twitter/statuses/1316201645500444672	95d247eaf426c09afa96c409a458089f
5	Sun Oct 18 07:56:28 +0000 2020	3.0		0.0	  Caroline's endorsement of Biden Harris is very admirable.	https://twitter.com/twitter/statuses/1317736287986716672	047b3cde0ea68e369499e81abe589cfa
6	Wed Oct 14 14:33:53 +0000 2020	0.0		0.0	VOTE FOR BIDEN AND HARRIS!!😷👍💙🇺🇸🙋‍♀️😁 https://t.co/yllSqMPHWU	https://twitter.com/twitter/statuses/1316386750038671361	4e2ad352c4a95a93f924f55229838c1d
7	Fri Oct 16 20:55:17 +0000 2020	0.0		0.0	VOTE 📬🗳️🌊 BIDEN HARRIS VOTE 📬🗳️🌊 BIDEN HARRIS VOTE 📬🗳️🌊 BIDEN HARRIS https://t.co/AfXkWQlZDk	https://twitter.com/twitter/statuses/1317207508692443141	4aa18869b43d833c39451620763eb560
8	Tue Oct 13 23:16:54 +0000 2020	0.0		0.0	Vote for Biden and Harris https://t.co/486THLtRQQ	https://twitter.com/twitter/statuses/1316155986210516992	99a167a177bdd4f1d750ee43634cde55
9	Fri Oct 16 09:54:40 +0000 2020	0.0		0.0	VOTE FOR BIDEN AND HARRIS 🙋‍♀️👍🇺🇸💙😷❤ https://t.co/bCtf80Lqpu	https://twitter.com/twitter/statuses/1317041258662105088	4e2ad352c4a95a93f924f55229838c1d
10	Mon Oct 19 19:36:45 +0000 2020	0.0		0.0	  Vote for Biden and Harris	https://twitter.com/twitter/statuses/1318274911006203904	3d8993d7d7b664261dcc4893aab77159
11	Mon Oct 19 18:48:31 +0000 2020	0.0		1.0	 Vote for Biden and Harris	https://twitter.com/twitter/statuses/1318262770287038465	3d8993d7d7b664261dcc4893aab77159
12	Tue Oct 13 14:29:12 +0000 2020	2.0		0.0	Cindy McCain is fabulous on the Biden Harris ad	https://twitter.com/twitter/statuses/1316023184638967810	6cf357010ebdc48375f1d8bfbdce17db
13	Tue Oct 13 23:29:44 +0000 2020	0.0		0.0	I forgot we are voting for Harris not Biden	https://twitter.com/twitter/statuses/1316159216093020160	5ece95c4b5b21e5ce2c0fdcad8416d35
14	Tue Oct 13 21:41:13 +0000 2020	0.0		0.0	 Because Joe Biden and did Kamala Harris supporters are few and far between	https://twitter.com/twitter/statuses/1316131907156029441	4052b1f133521af3ac61c073f0d137fd
15	Sun Oct 18 19:14:02 +0000 2020	1.0		1.0	: Courageous Priest Speaks The TRUTH About Joe Biden and Kamala Harris https://t.co/uUOpORl9dJ	https://twitter.com/twitter/statuses/1317906803892563969	0379d8b2c8432e097aab1381c3947825
16	Sun Oct 18 19:08:21 +0000 2020	1.0		1.0	: Courageous Priest Speaks The TRUTH About Joe Biden and Kamala Harris https://t.co/uUOpORl9dJ	https://twitter.com/twitter/statuses/1317905374977134594	0379d8b2c8432e097aab1381c3947825
17	Sun Oct 18 18:52:53 +0000 2020	1.0		2.0	: Courageous Priest Speaks The TRUTH About Joe Biden and Kamala Harris https://t.co/uUOpORl9dJ	https://twitter.com/twitter/statuses/1317901481899589634	0379d8b2c8432e097aab1381c3947825
18	Tue Oct 13 16:07:11 +0000 2020	3.0		0.0	@JoeBiden Thank you Joe- just voted here in Texas Biden/ Harris! 🗳💙🌊	https://twitter.com/twitter/statuses/1316047841790435328	a7dc791e5f08ffb19fdc0f6431101819
19	Sun Oct 18 04:19:19 +0000 2020	5.0		0.0	 Vote. For Biden and Harris of course.	https://twitter.com/twitter/statuses/1317681642291437569	ff704391cbd2539395d737082bab3596
