	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Wed Oct 14 19:35:43 +0000 2020	0.0		0.0	How wearing a mask became a republican/democratic issue?? https://t.co/hrZPU3FXTG	https://twitter.com/twitter/statuses/1316462710507307010	e437114e5811e413330ccca4d87f0d26
1	Mon Oct 19 11:30:30 +0000 2020	0.0		0.0	Now they wear MASKS !!! Pathetic all of them !!! 220000 our AMERICANS died and counting Trump's dancing &amp; GOPs star wearing MASKS FUCK THEM ALL  they're no longer VALUE to USA  they're nothing but PUTIN'S USEFUL IDIOTS ..! https://t.co/8Mlsr6OJpT	https://twitter.com/twitter/statuses/1318152540672831488	0cf9e8ab765f294551b2b0627a94e774
2	Fri Oct 16 02:17:44 +0000 2020	1.0		0.0	 couldn't stop himself from spewing more DEADLY LIES!- 85% of those who wear mask catch covid. FALSE!- U.S. has best records re: COVID. FALSE!- We have a cure for COVID. FALSE!Appears he was POSITIVE for Covid during the first debate w/Biden! Infecting unknown numbers!	https://twitter.com/twitter/statuses/1316926267401424897	2dade6bdf05604e3e2af280ad9359fe8
3	Sat Oct 17 02:30:28 +0000 2020	4.0		0.0	Trump is dying politically on the hill of not wearing masks. Americans are just dying.	https://twitter.com/twitter/statuses/1317291859673112577	9060ec0573b34d0e2148cfa273217239
4	Wed Oct 14 01:11:12 +0000 2020	0.0		0.0	_NE wearing his face mask republican style in the flyer I got today https://t.co/LKmns18ETg	https://twitter.com/twitter/statuses/1316184750814564352	b1d643a4cd1ec1320faa08d441468c1d
5	Mon Oct 19 03:05:07 +0000 2020	1.0		0.0	WOW...Thx gawd WISC is a Safe State from COVID-19With Trump's virus affecting SO many parts of US --12 State today saw record number of cases -- with NO social distancing &amp; few mask this could be worst than last month's Sturgis Bike Rally https://t.co/SVJhYb3WeE	https://twitter.com/twitter/statuses/1318025357333757952	41dc66a22df94dd5aa36d3b8bc63e5cb
6	Thu Oct 15 06:09:50 +0000 2020	1.0		0.0	https://t.co/svl5dbA4bZHOW was he supposed to eat without moving the mask?	https://twitter.com/twitter/statuses/1316622289035644928	513ca974898639e0310ae3175f8ef686
7	Tue Oct 20 02:57:28 +0000 2020	0.0	TrumpIsATerrorist	0.0	 You need to leave your private island more often. So many in this state have never abandoned your parties' original stance that COVID-19 is harmless. So many refuse to wear masks and it can directly be attributed the actions of people like you and Trump. #TrumpIsATerrorist	https://twitter.com/twitter/statuses/1318385820894699527	89fe939e05e3583f55f457a36f81492c
8	Wed Oct 21 00:08:51 +0000 2020	0.0		0.0	Since when does Trump taunt people for NOT wearing masks? https://t.co/e4gJyX6Kmi	https://twitter.com/twitter/statuses/1318705775372652545	f9667f71e5945e3bc20bb8a5501d0e8a
9	Tue Oct 13 15:01:35 +0000 2020	14.0		0.0	_Stew  Ignore the obvious fact more people are at home than ever before...especially in Democrat areas masked and Locked Down.  More people at home to watch...and fewer did	https://twitter.com/twitter/statuses/1316031333471264769	2a50844d9915f690a71bf88513ea6dc9
10	Tue Oct 13 16:47:30 +0000 2020	4.0		1.0	Why is trump attending mask free rallies less than 14 days after a POSITIVE COVID TEST when the rest of Americans have to quarantine for 14 days even just after exposure 🤦🏼‍♀️	https://twitter.com/twitter/statuses/1316057990143901696	a6b4591d90ae9efa3ab85353cec481a2
11	Tue Oct 13 15:16:54 +0000 2020	0.0		0.0	  For indoors there was never a distance specification ever since mask usage began Trump's CDC's recommendation was to wear a mask indoors you're referring to recommendations for when one is outside.	https://twitter.com/twitter/statuses/1316035187931779072	f8ee95cfd04b052ccad6fa3c41846fcf
12	Tue Oct 13 23:46:49 +0000 2020	3.0	optics	2.0	The only people wearing masks are the ones behind Trump. They’re wearing the MAGA ones Trump handed out. Alll the MAGA idiots on twitter say masks don’t work yet Trump wants to show his people are wearing masks. #optics https://t.co/noi3pYkMbk	https://twitter.com/twitter/statuses/1316163512356483072	67d0dde5a72bac83096cb3d4271c478b
13	Sun Oct 18 20:26:05 +0000 2020	0.0		0.0	All these people with no mask. The ones with one are wearing them properly. This was a photo op otherwise trump wouldn’t be all into the camera https://t.co/m7XqNEZBwQ	https://twitter.com/twitter/statuses/1317924936070139912	e933aaf3ea8bea2824756bbe389697fc
14	Fri Oct 16 04:31:39 +0000 2020	4.0		1.0	Tell me again what California gains by being part of Trump‘s United States? What do Californians gain by having less of a voice than people in Wyoming? This Republic needs to put its own mask on first and chart a new course since America’s government has lost its way. https://t.co/eRxaXsteeq	https://twitter.com/twitter/statuses/1316959972325031936	637c562975f222d22705e79a44cda36d
15	Tue Oct 13 21:36:13 +0000 2020	0.0		0.0	Attention all 35% of Trump Deplorables! Warning : The rally crowds are potential death beds! Trump is leading you to the valley of death if you fail to wear your mask! It’s not worth it!	https://twitter.com/twitter/statuses/1316130648491425792	e45a940bf2f1811e616ce221c28ed117
16	Wed Oct 14 21:42:38 +0000 2020	7.0		0.0	I pray for Arkansas every day. This makes me heart hurt. Meanwhile our attorney general waltzes around without a mask at crowded rodeos &amp; goes on interstate tours for Trump. I cannot stress enough how disappointed I am in our top leaders. But I thank God for  🤘🏼 https://t.co/7pUeMIUv3j	https://twitter.com/twitter/statuses/1316494650736287744	35ba515497cb3332697121d3be0c27d0
17	Tue Oct 13 21:08:45 +0000 2020	2.0		0.0	  Actually Doctor Trump knew all about Covid and his Team of doctors from the CDC told you everything you needed to know. Wear your mask and stay 6 feet apart if you can't do that it's your fault.	https://twitter.com/twitter/statuses/1316123733766135809	85dcf1d3d15f1d6a16f9863d5a120d22
18	Tue Oct 13 15:38:20 +0000 2020	0.0		0.0	Expect the peaks to continue to peak over the next 22 days if today’s pattern of crowds bunched together w/o masks   To hear Trump pontificate about being an immortal!will this help or hurt Red States in the eye of this virus!  Lies lies dangerous to humans!	https://twitter.com/twitter/statuses/1316040584042360832	d25154621b3653fca1240084953d5de5
19	Tue Oct 13 20:28:49 +0000 2020	0.0		0.0	 Republican judges and also all republicans show so much hypocrisy when they say respect for life then they try to take away healthcare or are pro death penalty or anti mask or pro guns for anyone including insane or criminals and then against voting rights for those same people	https://twitter.com/twitter/statuses/1316113686172504064	9dd9acc15652eeaa621de3d0ce952bab
