	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Wed Oct 14 17:20:49 +0000 2020	2.0		0.0	 Why is NBC holding this event for Trump? All he does is trash NBC and MSNBC and call every report FAKE news.	https://twitter.com/twitter/statuses/1316428762532270081	ab1e0956ff44ff4a64fa8bffc161b02f
1	Fri Oct 16 01:24:20 +0000 2020	1.0		0.0	 Exactly right. This was supposed to be a town hall Not a debate between President Trump and the fake news biased commentator. . I guess we should expect that. Very Sad. Trump does great when he gets to talk directly to people	https://twitter.com/twitter/statuses/1316912830197747714	a58536ec8388d4a35add1c3bc61ea96e
2	Wed Oct 14 16:34:26 +0000 2020	1.0		0.0	  You obviously have been watching fake news instead of paying attention.Trump 2020	https://twitter.com/twitter/statuses/1316417089868124160	055c35e7c04ac59e87c39f7551380d56
3	Tue Oct 13 15:51:41 +0000 2020	0.0		0.0	  FAKE NEWS !!!!!!THESE POLLS ARE A FUCKING JOKE JUST LIKE BIDEN	https://twitter.com/twitter/statuses/1316043940878053378	d7d71e778a61ce2ddd6beb7b14b722a0
4	Wed Oct 14 14:36:31 +0000 2020	0.0		0.0	 I'll be watching ABC Joe Biden. Why didn't FOXNews host the jackass townhall. I thought CNN MSNBC ABC etc were fake news oh he is desperate he needs all the fake news to host along with the fake people to watch.	https://twitter.com/twitter/statuses/1316387413208506368	caecf1fdda98dd10e47f29aa20480561
5	Fri Oct 16 01:42:51 +0000 2020	1.0		0.0	 Trump is so confident he can walkinto a fake news trap and escapetheir snare un scathed	https://twitter.com/twitter/statuses/1316917489826205701	39449a5e829877df62dfd8e9e9793072
6	Thu Oct 15 17:56:56 +0000 2020	4.0		0.0	   Fake News! Oh yeah Biden’s have a lot to answer for! Things are just getting started with the Biden’s!	https://twitter.com/twitter/statuses/1316800237609062400	9eb4cc9fac9ef4119cf700d6eddc8205
7	Fri Oct 16 01:06:07 +0000 2020	0.0		0.0	So     Refuse to run actual news on hunter biden and the shady dealing him and his father were involved in but yet anything remotely negative and mostly fake stuff put out on trump gets front page news. Unreal this media bias.	https://twitter.com/twitter/statuses/1316908247916433412	d60ee75e4e8a7965943ea16c8d07b865
8	Sun Oct 18 20:13:49 +0000 2020	0.0		0.0	They really are desperate because Trump and his Crime Family are losing they will attack the Bidens and spread Fake News https://t.co/GnumMuARBX	https://twitter.com/twitter/statuses/1317921849276305408	13284ec8e7a3deb082934e815a6f7fb3
9	Wed Oct 14 15:43:39 +0000 2020	1.0		0.0	 The story stinks and is full of holes. This is obviously a fake news setup. Just a sign of the desperation Trump is in	https://twitter.com/twitter/statuses/1316404308418523137	c93a902151cf29fe6b24fab7433325ca
