	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Sat Oct 17 02:30:28 +0000 2020	4.0		0.0	Trump is dying politically on the hill of not wearing masks. Americans are just dying.	https://twitter.com/twitter/statuses/1317291859673112577	9060ec0573b34d0e2148cfa273217239
1	Wed Oct 14 19:35:43 +0000 2020	0.0		0.0	How wearing a mask became a republican/democratic issue?? https://t.co/hrZPU3FXTG	https://twitter.com/twitter/statuses/1316462710507307010	e437114e5811e413330ccca4d87f0d26
2	Mon Oct 19 11:30:30 +0000 2020	0.0		0.0	Now they wear MASKS !!! Pathetic all of them !!! 220000 our AMERICANS died and counting Trump's dancing &amp; GOPs star wearing MASKS FUCK THEM ALL  they're no longer VALUE to USA  they're nothing but PUTIN'S USEFUL IDIOTS ..! https://t.co/8Mlsr6OJpT	https://twitter.com/twitter/statuses/1318152540672831488	0cf9e8ab765f294551b2b0627a94e774
3	Wed Oct 14 01:11:12 +0000 2020	0.0		0.0	_NE wearing his face mask republican style in the flyer I got today https://t.co/LKmns18ETg	https://twitter.com/twitter/statuses/1316184750814564352	b1d643a4cd1ec1320faa08d441468c1d
4	Mon Oct 19 03:05:07 +0000 2020	1.0		0.0	WOW...Thx gawd WISC is a Safe State from COVID-19With Trump's virus affecting SO many parts of US --12 State today saw record number of cases -- with NO social distancing &amp; few mask this could be worst than last month's Sturgis Bike Rally https://t.co/SVJhYb3WeE	https://twitter.com/twitter/statuses/1318025357333757952	41dc66a22df94dd5aa36d3b8bc63e5cb
5	Thu Oct 15 17:16:14 +0000 2020	0.0		0.0	   You mean if he hadn’t gotten infected with coronavirus which made that impossible? Then we would have gotten to see him make fun of Joe Biden for wearing a mask like he did the last debate right?	https://twitter.com/twitter/statuses/1316789995647238147	89a9953df6d5b852a008b99c78378da5
6	Fri Oct 16 02:17:44 +0000 2020	1.0		0.0	 couldn't stop himself from spewing more DEADLY LIES!- 85% of those who wear mask catch covid. FALSE!- U.S. has best records re: COVID. FALSE!- We have a cure for COVID. FALSE!Appears he was POSITIVE for Covid during the first debate w/Biden! Infecting unknown numbers!	https://twitter.com/twitter/statuses/1316926267401424897	2dade6bdf05604e3e2af280ad9359fe8
7	Wed Oct 21 00:08:51 +0000 2020	0.0		0.0	Since when does Trump taunt people for NOT wearing masks? https://t.co/e4gJyX6Kmi	https://twitter.com/twitter/statuses/1318705775372652545	f9667f71e5945e3bc20bb8a5501d0e8a
8	Tue Oct 20 02:57:28 +0000 2020	0.0	TrumpIsATerrorist	0.0	 You need to leave your private island more often. So many in this state have never abandoned your parties' original stance that COVID-19 is harmless. So many refuse to wear masks and it can directly be attributed the actions of people like you and Trump. #TrumpIsATerrorist	https://twitter.com/twitter/statuses/1318385820894699527	89fe939e05e3583f55f457a36f81492c
9	Tue Oct 13 23:46:49 +0000 2020	3.0	optics	2.0	The only people wearing masks are the ones behind Trump. They’re wearing the MAGA ones Trump handed out. Alll the MAGA idiots on twitter say masks don’t work yet Trump wants to show his people are wearing masks. #optics https://t.co/noi3pYkMbk	https://twitter.com/twitter/statuses/1316163512356483072	67d0dde5a72bac83096cb3d4271c478b
10	Wed Oct 14 05:06:07 +0000 2020	0.0	trump, agbarr	0.0	 Ironic (or appropriate?) Considering how #trump #agbarr undermine (face) masking	https://twitter.com/twitter/statuses/1316243870158651395	6ff2c8b4eec0133a03b33b4e915106ad
11	Thu Oct 15 03:15:27 +0000 2020	4.0		3.0	If you’ve already voted that’s great! Join us anyway and show support and fellowship with your brothers and sisters in the mission to elect Joe Biden our next president! (2/2) *Masks and social distancing will be enforced.*Sign up for details:https://t.co/jBIhprbNLO	https://twitter.com/twitter/statuses/1316578407405166593	63a1de66a5df5ebd6f87ced994786ecc
