	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Sat Oct 17 02:30:28 +0000 2020	4.0		0.0	Trump is dying politically on the hill of not wearing masks. Americans are just dying.	https://twitter.com/twitter/statuses/1317291859673112577	9060ec0573b34d0e2148cfa273217239
1	Wed Oct 14 19:35:43 +0000 2020	0.0		0.0	How wearing a mask became a republican/democratic issue?? https://t.co/hrZPU3FXTG	https://twitter.com/twitter/statuses/1316462710507307010	e437114e5811e413330ccca4d87f0d26
2	Mon Oct 19 11:30:30 +0000 2020	0.0		0.0	Now they wear MASKS !!! Pathetic all of them !!! 220000 our AMERICANS died and counting Trump's dancing &amp; GOPs star wearing MASKS FUCK THEM ALL  they're no longer VALUE to USA  they're nothing but PUTIN'S USEFUL IDIOTS ..! https://t.co/8Mlsr6OJpT	https://twitter.com/twitter/statuses/1318152540672831488	0cf9e8ab765f294551b2b0627a94e774
3	Wed Oct 14 01:11:12 +0000 2020	0.0		0.0	_NE wearing his face mask republican style in the flyer I got today https://t.co/LKmns18ETg	https://twitter.com/twitter/statuses/1316184750814564352	b1d643a4cd1ec1320faa08d441468c1d
4	Fri Oct 16 02:17:44 +0000 2020	1.0		0.0	 couldn't stop himself from spewing more DEADLY LIES!- 85% of those who wear mask catch covid. FALSE!- U.S. has best records re: COVID. FALSE!- We have a cure for COVID. FALSE!Appears he was POSITIVE for Covid during the first debate w/Biden! Infecting unknown numbers!	https://twitter.com/twitter/statuses/1316926267401424897	2dade6bdf05604e3e2af280ad9359fe8
5	Mon Oct 19 03:05:07 +0000 2020	1.0		0.0	WOW...Thx gawd WISC is a Safe State from COVID-19With Trump's virus affecting SO many parts of US --12 State today saw record number of cases -- with NO social distancing &amp; few mask this could be worst than last month's Sturgis Bike Rally https://t.co/SVJhYb3WeE	https://twitter.com/twitter/statuses/1318025357333757952	41dc66a22df94dd5aa36d3b8bc63e5cb
6	Mon Oct 19 18:51:18 +0000 2020	0.0		0.0	Trump gon’ have the audacity to show up in AZ w/o a mask after testing positive for COVID...	https://twitter.com/twitter/statuses/1318263470136066048	7621f524e4824e31c947680b3c296396
7	Wed Oct 21 00:08:51 +0000 2020	0.0		0.0	Since when does Trump taunt people for NOT wearing masks? https://t.co/e4gJyX6Kmi	https://twitter.com/twitter/statuses/1318705775372652545	f9667f71e5945e3bc20bb8a5501d0e8a
8	Tue Oct 20 02:57:28 +0000 2020	0.0	TrumpIsATerrorist	0.0	 You need to leave your private island more often. So many in this state have never abandoned your parties' original stance that COVID-19 is harmless. So many refuse to wear masks and it can directly be attributed the actions of people like you and Trump. #TrumpIsATerrorist	https://twitter.com/twitter/statuses/1318385820894699527	89fe939e05e3583f55f457a36f81492c
9	Tue Oct 13 16:47:30 +0000 2020	4.0		1.0	Why is trump attending mask free rallies less than 14 days after a POSITIVE COVID TEST when the rest of Americans have to quarantine for 14 days even just after exposure 🤦🏼‍♀️	https://twitter.com/twitter/statuses/1316057990143901696	a6b4591d90ae9efa3ab85353cec481a2
10	Tue Oct 13 15:01:35 +0000 2020	14.0		0.0	_Stew  Ignore the obvious fact more people are at home than ever before...especially in Democrat areas masked and Locked Down.  More people at home to watch...and fewer did	https://twitter.com/twitter/statuses/1316031333471264769	2a50844d9915f690a71bf88513ea6dc9
11	Fri Oct 16 05:46:51 +0000 2020	12.0		0.0	   Don't forget that States like Georga Florida Texas and Arizona who listen to Trump...Have Open Bars Weak mask wearing policiesHorrible on testing...Some of the Highest Covid cases.	https://twitter.com/twitter/statuses/1316978894835228672	629a70764e55494cd0ccb04c01bda0a8
12	Wed Oct 14 12:49:34 +0000 2020	0.0		0.0	 Trump failed Americans not Fauci. Trump secretly allowed herd immunity to run rampant didn't advocate masks and allowed our fellow Americans to die. Alone.	https://twitter.com/twitter/statuses/1316360500415004672	d92e3cb1719fcbd02328ba3e82068e3a
